Question,Answer
"Hello, I would like to inquire about the price of making a Mockup (minimum box only) - There is already a ready-to-print box.","Hello, what kind of box is it? what size"
Interested in ordering a handmade soap box? There is a model with Ai file already.,How much are customers interested in?
Ask for the price of the box. How many pieces are you producing?,"Hello, what type of work are you interested in?"
ask for price please I want a product box,"Hello, customer, do you have a file ready to start work?"
Ask me. What is the price of embossed spot uv pump? minimum how many boxes,The work has a special technique. Start producing at 500 bags. What type of work are you interested in? Admin help advise.
I would like to ask. Is this a custom box like this that has both a bottom lock base and a product lock lid on top like this?,"Hello, please ask for more information. Customers are interested in a box, a lock, attached to the box or a separate type."
"Hello
I will inquire about how to make a sunscreen box.
","Hello, please let me know the size of the box you want."
"Ask for package design, soap box 70 grams, about 500-1000 pieces","Hello, does the customer have a file ready to start work? From the size of the work unfolded no more than A4
We accept production starting at 100 bags."
"Hello, I am interested in ordering a box of Cleanser and Serum products.","Hello, do you have a file yet? Wait, admin, please ask for more information. to send an appraisal"
"Hello, I'm interested in producing product boxes.","Hello, customers are interested in what type of box work?"
I'm interested in the packaging box with dried bananas.,"Hello, does the customer have the file yet?
If there is no way, we have a design service as well."
interested box,"Hello, please inform the format of the box. and size you want."
I would like to know the details of the design of the box,"Hello, customers. Are you interested in what kind of box work is good?"
"Lipstick Box
","Hello, do you have a work file yet?
If there is no way, we have a design and production service as well."
"Lipstick Box
","What type of opening box does the customer want? Normal, normal or premium?"
"Lipstick Box
","(Continued) If you want a premium, I recommend a slide box or a cover to help increase the value of the product."
"Lipstick Box
",How many lipsticks does 1 box contain?
Do you have soap boxes available for sale?,Our finished box work is not available for sale. We are a manufacturing factory.
Do you have soap boxes available for sale?,Are customers interested in ordering to produce as their own brand? It can help increase the value of the product too.
"Interested in making chocolate boxes? It's a gift, what do you think?",Please let me know the size and quantity.
"Interested in making chocolate boxes? It's a gift, what do you think?",Customers try to see if it's a box with a lid plugged into the bottom or not.
"hello
Cream box size 29.5??22cm Spot uv 2 spots",Size notified by the customer Is it the unfolded size of the box?
"hello
Cream box size 29.5??22cm Spot uv 2 spots",Does the customer have a model?
"hello
Cream box size 29.5??22cm Spot uv 2 spots",Quantity to order
"hello
Cream box size 29.5??22cm Spot uv 2 spots","Special techniques that require sport uv 2 spots, how much area?"
Interested in making a box for perfume bottles?,"hello
What kind of box is it? Do you have a sample picture?"
Where is the company located? I'm interested. Soap box.,Does the customer have a work file or a box?
Can you design it?,Manufacturing and designing too.
How many colors can I use in the steaming box?,"Ours will be a 4-color CMYK printing job, or if the color is serious, we recommend making a special color."
If there is a pattern or work file to produce according to the design?,"Accepting production, customers. If the customer already has a work file, there is no need to pay for additional design costs."
If there is a pattern or work file to produce according to the design?,We are a factory that accepts production according to the files and specifications of customers.
white-red-gold-black,Gold printing will be a special color. which will have an additional cost
"hello
Would you mind offering a price for 1,000 copies of the work?
If the box looks like a Pocky box, do you accept production?
If the box looks like a Pocky box, do you accept production?
Lipstick box, color tone like this, 1000 pieces, please ask for price.
How many days are you done?
Soap box, if produce 50 boxes, will you accept it?
Soap box, if produce 50 boxes, will you accept it?
Soap box, if produce 50 boxes, will you accept it?
how much design
The size of the box is unfolded about the size of A4 paper. It is a product box with a fragrant bag, similar to the brand karmakamet.
Hello, I want to design a product box.",What kind of box is it?
Make a product box,You mean the way it opens and closes?
to order box production,Do you have a sample picture of what it looks like? Admin can help recommend.
"Interested in producing serum boxes? If there is only a logo file, does the shop accept production?","Hello, do you have a work file yet?
If there is no way, we have a design and production service as well."
"Interested in producing serum boxes? If there is only a logo file, does the shop accept production?","The work of the box lid, butt plug, unfolded not more than A4 no special technique
Produced 7-10 working days after confirming the mock-up."
"Interested in producing serum boxes? If there is only a logo file, does the shop accept production?","Accepting production, customers. But the price per leaf will be high."
"If we produce and design with you And we want the file, can we request it?","Does the customer use it to try it out in a research or project? If yes, it will be a fixed price.
"
"If we produce and design with you And we want the file, can we request it?",Is it better for customers to receive 100 tickets? Now the promotion is still available.
"Now, if you can produce the minimum, how many pieces? fit to try to sell","Logo design fee is 1,500 baht, can be edited 3 times, provide AI file / per 1 design
Box design fee 2,000 baht, can be adjusted 3 times, reserves the right not to give files / per 1 design
plug-in lid box unfolded no more than A4"
"Hello, do you make a paper box for a 100 ml bottle?","Hello, customers are interested in what type of box work?"
This size box what is the price,"hello
What size box are you interested in?
hello"
"Would you like to see examples of work, glossy laminate and matt laminate, please?",Please ask for a picture of the sample box.
"4 colors, what color can I have?","Accepting production, customers. I don't know how much I received."
"5 colors, what color can I have?","If there is only a logo file, it cannot be produced yet. We will have to issue a box first."
"special effects here Is there something like this? silver color, matt silver Additional expenses",Usually we use AI files to work. It will give you a clear picture.
"The name of the brand, the logo that is initially designed in silver. So I would like to know at the beginning whether the shiny silver or matte silver has to have additional expenses or not?","According to the design conditions, the right will not be given to the AI file."
"If the serum bottle was a square Want to make a lock with the shop can do it?
What's the cost?",But if the customer really wants the file There will be expenses in this section.
"If the serum bottle was a square Want to make a lock with the shop can do it?
What's the cost?",100 tickets
Is there a mockup as an example?,The size unfolded is no more than A4.
So what are you mocking up to see? Is it coming out in black and white?,The size unfolded is no more than A4.
If the brown Let it be in 4 primary colors. Confirm price 5 baht each. How many days of production time?,okay
add extra color,Ours will be printing in 4 colors CMYK.
Add a technique to pump K gold.,"It will be the primary color. Black, yellow, red, blue, mixed together to be that color. It's called a 4-color job."
"The paper is colored. Is this a color print or is it a colored paper? You can use 4 colors, right?",There are many special techniques.
Foil stamping costs an additional 2000 (get 2 points). How much is the size per point?,"Foil stamping adds 2,500 baht."
"Hello, I am interested in producing 1,000 cream boxes.","If adding a product lock Charge an additional price of 1 baht each, both attached and separate."
Size according to the picture that I sent to you. 1000 first.,"If you want us to make a lock, the customer must send the product to measure and make a mockup."
"Hello, I'm interested in producing 1,000 cream boxes.
What are some of the details?","Yes, but mock-ups will not be able to see the color."
"hello
soap box
start 100
How much is it?","It's a 4-color print job, but the mock-up will be printed. digital device"
How much is this minimum?,"If accepting a job in 4 colors without special techniques, the price is 1000 pieces, 5 baht each.
Production period 7-10 working days after confirming the mock-up."
How much is this minimum?,add 3000 baht
"Interested in a soap box, with a strap
",add 2000 baht
"Interested in a soap box, with a strap
",Color printed white paper
"Interested in a soap box, with a strap
",Does the customer have a model?
"Interested in a soap box, with a strap
",Does the customer have a file ready to start work?
Interested in ordering a box? I have a job file. But I want to fix something a little bit.,"hello
Please ask for your name and contact number.
to keep customer history and ask for a price."
Interested in ordering a box? I have a job file. But I want to fix something a little bit.,"Hello, do you have a file ready to start work?"
Interested in ordering a box? I have a job file. But I want to fix something a little bit.,"What size?
Is there a design file?"
Interested in ordering a box? I have a job file. But I want to fix something a little bit.,Minimum of 100 soap boxes.
Interested in ordering a box? I have a job file. But I want to fix something a little bit.,"If the event has a special technique, it starts at 500 bags."
Interested in box products?,Inform the size of the box you want.
Interested in box products?,What size is the strap?
Interested in box products?,How much is it produced?
Interested in box products?,Does the customer have a file format?
Interested in box products?,"Hi, how much do you produce?"
Interested in ordering a box? I have a job file. But I want to fix something a little bit.,Send the file to check the price.
Interested in ordering a box? I have a job file. But I want to fix something a little bit.,Inform the size of the box you want.
Interested in ordering a box? I have a job file. But I want to fix something a little bit.,You can inform the details of the job.
Interested in ordering a box? I have a job file. But I want to fix something a little bit.,"You can send the file. If there is any correction, please let me know."
Interested in box products?,"Hello, what are you interested in in the box, customer?"
Interested in box products?,"hello
Please ask for your name and contact number.
to keep customer history and ask for a price."
Interested in box products?,Has the customer designed an ai file yet?
Interested in box products?,What type of box does the customer want to produce?
Interested in box products?,Please let me know the size of the box you want.
Inquire about making perfume boxes.,"hello
What size is it?"
inquire about packages,"As shown in the picture, it is a die-cut box type job. Plug the butt plug.
How much are you interested in?"
inquire about packages,Do you have sample images?
inquire about packages,"Hello, what kind of work are you looking for?
We are a factory for the production of packaging packages.
such as soap box, cream box, cosmetic box
lipstick box supplement box
Paper bags, gabled boxes, lighted signs, Japanese flags, standees, coasters
Providing production and design services with a very experienced graphic team

Happy to serve you."
What is the price of lipstick boxes?,"hello
Customers can inform the size of the box they want."
What is the price of lipstick boxes?,Has the customer designed an ai file yet?
What is the price of lipstick boxes?,"The unfolded size of the box does not exceed A4.
350 gram thick art card paper
4 color offset printing
Gloss/matt lamination // You can choose.
Daicut + glue 1 point
The stated price is a joint lay-out. (print work with other owner's work)

500 tickets, 8 baht each
1,000 tickets, 5 baht each

**This price does not include VAT.
*Does not include shipping cost."
"Hello, I am interested in making 500 soap boxes. I haven't made AW yet. Is there any value to do?","Logo design fee is 1,500 baht, can be edited 3 times, not providing AI files / per 1 design
Box design fee 2,000 baht, can be adjusted 3 times, reserves the right not to give files / per 1 design
plug-in lid box unfolded no more than A4"
"Hello, I am interested in making 500 soap boxes. I haven't made AW yet. Is there any value to do?","Yes, there is a box design fee. 1,500 baht

Interested. Feel free to inquire."
"Hello, I am interested in making 500 soap boxes. I haven't made AW yet. Is there any value to do?",Inform the size of the box you want. Appraise the price for me.
Can I have details on ordering 1000 boxes of soap boxes please?,"hello
Please ask for your name and contact number.
to keep customer history and ask for a price."
Can I have details on ordering 1000 boxes of soap boxes please?,"The unfolded size of the box does not exceed A4.
350 gram thick art card paper
4 color offset printing
Gloss/matt lamination // You can choose.
Daicut + glue 1 point
The stated price is a joint lay-out. (print work with other owner's work)

1,000 tickets, 5 baht each

**This price does not include VAT.
*Does not include shipping cost."
Can I have details on ordering 1000 boxes of soap boxes please?,Inform the size of the box you want. Estimate the price.
Can I have details on ordering 1000 boxes of soap boxes please?,"Hello, do you have a file yet? Wait, admin, please ask for more information. to send an appraisal"
"hello
Ask for a box design promotion. Make a box.","Hello, customer. What type of product boxes do you make? You can inform me.
We look at promotions for you."
"hello
Ask for a box design promotion. Make a box.","Printing box for cream jar
Accepting production and designing boxes as well."
"hello
Ask for a box design promotion. Make a box.","Yes, ready to start work immediately. Please ask for details of the box size and number as well."
"hello
Ask for a box design promotion. Make a box.","box design service 1500 baht
Print 1000 boxes, 5 baht each."
interested in printing boxes,"How much do customers choose to print? The more prints you order, the cheaper it gets."
interested in printing boxes,Please ask for the name and contact number of the customer.
interested in printing boxes,"box printing
Accepting production and designing boxes as well."
interested in printing boxes,"You can ask for more information.

Print the sample box Let's check before printing the actual work."
interested in printing boxes,"Inform the size of the box you want.

You can add extra options, such as embossed pump, K-thong pump, spot uv. The box will be more beautiful and luxurious."
"Hello, ask for the price of the cream box.
175ml unfolded no more than A3","Hello, cream box printing. The size of the unfolded box does not exceed A3.
system It's designed a bit."
"Hello, ask for the price of the cream box.
175ml unfolded no more than A3","Hello, do you have a file yet? Wait, admin, please ask for more information. to send an appraisal"
"Hello, ask for the price of the cream box.
175ml unfolded no more than A3","Hello, we accept design and produce. Do customers already have the model they want?"
"Hello, ask for the price of the cream box.
175ml unfolded no more than A3","Size unfolded, the box is not more than A3, the minimum production is 500 pieces."
"Hello, ask for the price of the cream box.
175ml unfolded no more than A3",Do you have a sample picture of what it looks like? Admin can help recommend.
"Hello, I want to order 1000 boxes, how many days will it take to produce?","ƒ??The job has no special technique.
The production period is 7-10 working days after confirming the mock-up."
,"Print the sample box to check before printing the actual work.
The production time is approximately 7-10 days."
"Hello, I want to order 1000 boxes, how many days will it take to produce?","Has the customer designed the ai file yet? The design time is 3-5 working days. After confirming the mock-up, it will be sent to production 7-10 working days."
,"Hello, the soap box accepts a minimum of 100 pieces."
"Hello, I want to order 1000 boxes, how many days will it take to produce?",Please ask for the size of the box that the customer wants. Estimate the price.
,Inform the size of the box you want. The price and the minimum amount depends on the size of the box.
made to order soap box How many boxes to start,"Joint lay work, we do not charge for blocking customers."
made to order soap box How many boxes to start,500 cards are accepted for production. Inform the size of the box you want. We estimate the price for you.
made to order soap box How many boxes to start,"hello
From the sample picture, we accept production.
Starting at 500 cards or more."
"Does it include the blocking fee?

The minimum is 1000 cards, right?
","Please ask for your name and contact number.
You're the customer too."
"Does it include the blocking fee?

The minimum is 1000 cards, right?
","The window box is attached to plastic. Made for production.
Unfolded size not more than A4 plug-in lid box
Minimum 500 cards, 12 baht each.
Price does not include tax
Shipping cost is not included."
"Ask about how to make a box like this. There is a plastic stick.
Unfolded size not more than A4
Is there a minimum? and what is the price?","Hello, customer. Production box work. want to order how much"
"Ask about how to make a box like this. There is a plastic stick.
Unfolded size not more than A4
Is there a minimum? and what is the price?",Inform the size of the box you want. The price and the minimum amount depends on the size of the box.
"Ask about how to make a box like this. There is a plastic stick.
Unfolded size not more than A4
Is there a minimum? and what is the price?","Does the customer have a work file yet? Wait, admin, please ask for more information.
to send an appraisal."
I would like to ask. It's a box for jelly.,"Do you have any special techniques such as embossing, gold foil stamping, spot UV?"
I would like to ask. It's a box for jelly.,Customers can inform the size of the box they want. We estimate the price for you.
I would like to ask. It's a box for jelly.,Box for spray bottles Made for production. Measure the size of the box that you want to order and inform me.
I would like to ask. It's a box for jelly.,What quantity do you want to produce?
I would like to ask. It's a box for jelly.,Has the customer already had a file model? Can you send me the file to check the price?
"I'm interested in producing packaging boxes. It's a spray bottle.
",Hello. Box printing work. Send a file that is ready to be produced.
"I'm interested in producing packaging boxes. It's a spray bottle.
","The unfolded size of the box does not exceed A4.
350 gram thick art card paper
4 color offset printing
Gloss/matt lamination // You can choose.
Daicut + glue 1 point
The stated price is a joint lay-out. (print work with other owner's work)

1,000 tickets, 5 baht each

**This price does not include VAT.
*Does not include shipping cost."
"I'm interested in producing packaging boxes. It's a spray bottle.
","Conditions for starting work / payment

80% deposit of product cost before starting work
The rest is paid before delivery.

We put up a mock-up for you to see before sending all the work into production."
"Hello
Width 3.7 Length 3.7 Height 12 cm If minimum 1000 boxes, how much?
Do I have to have a deposit for the box?
Hello","hello
Does the customer have a model?"
"Width 3.7 Length 3.7 Height 12 cm If minimum 1000 boxes, how much?",How many grams is the cream jar for the customer?
Do I have to have a deposit for the box?,Customer designed. Do you have an Ai file yet?
"Hello
Width 3.7 Length 3.7 Height 12 cm If minimum 1000 boxes, how much?
Do I have to have a deposit for the box?
Ask for a box
Like this
",Can you please specify the finished dimensions for all 3 sides? (Width * Height * Thickness cm.)
Make a box for cream jars.,What is the style of the box?
Make a box for cream jars.,"Inform the price of the floor...

plug-in lid box unfolded no more than A4
350 gram art card paper + 4 color printing + glossy/matt laminated coating, you can choose
Die-cut/ glue on the side 1 point


100 bags, 25.00 baht each (digital print)


500 pieces, 8.00 baht each (offset printing)


1,000 pieces, 5.00 baht each (offset printing)


The price stated does not include VAT 7%, does not include design and does not include shipping."
Make a box for cream jars.,"Hello, what type of work are you interested in printing?"
Make a box for cream jars.,"The lid box is inserted into the bottom, the size unfolded is not more than A4."
"Hello, ask for details.",how many boxes
"Hello, ask for details.","The stated price does not include Vat 7% and the design fee, shipping fee."
"Hello, ask for details.","Normal 4-color printing, co-laying, is a job that is printed at the same time with other customers. I didn't receive the cray about the color, no matter what the case, come to print and new work. Not notified only because of this work.
Because each round Lay down the frame, can't print with the original one that used to be produced.
Color +- 10-20 % = 80-85% Shades that customers have to accept work 2-4 shades, the work will not have 100%."
"Ask for the production of perfume boxes, please.
just started","Hello, would you like to see the pattern of the perfume bottle?"
"Ask for the production of perfume boxes, please.
just started","How much budget do customers set? We will recommend to customers. as you wish
"
"Ask for the production of perfume boxes, please.
just started","Normally, the printing house is a normal box, the lid is plugged in, the bottom is plugged in."
"Ask for the production of perfume boxes, please.
just started",advise customers to send An example to give us Designed to measure the exact size.
"Ask for the production of perfume boxes, please.
just started","Inform the payment terms, 50% deposit to open the bill + send the design."
Interested in producing packaging? There is a file already.,"Hello, customer. What kind of packaging are you interested in?"
Interested in producing packaging? There is a file already.,"Email for sending files and details

printcafe999@gmail.com

Contact Khun Aum, sales department, number 063-593-2429 or 063-593-9653"
Interested in producing packaging? There is a file already.,"The original work specification, what kind of customer is it? Do you have any special techniques?"
Interested in producing packaging? There is a file already.,Would you mind asking me to see the pattern of the box work?
Interested in producing packaging? There is a file already.,Which rate is the customer interested in starting at?
Please inquire about payment terms + lead time.,"Delivery fee 300 contractors, Bangkok / provinces
The payment amount is not over 10,000 baht. Please pay the full amount.
If the payment amount exceeds 10,000 baht, you can pay a deposit of 30 / 50 / 20%."
Please inquire about payment terms + lead time.,"1st time 30% deposit to open the bill + design + mockup = baht
2nd time 50% deposit to send work into production = baht
3rd time: 20% deposit before delivering the work to the customer or accepting some of the work first = Baht"
Please inquire about payment terms + lead time.,"The payment amount is more than 15,000 baht, the company delivers free delivery in Bangkok perimeter."
Please inquire about payment terms + lead time.,"Sample work 1-2 days, clear the file and send it up. Mock-up

After confirming the mockup and a specification sheet for production Graphic Lay and the production department issued a production order number. Production time 7-8 working days, not including holidays and public holidays.
And will not count 1 that customers transfer money to start work "
Please inquire about payment terms + lead time.,Note: The company reserves the right to request a refund of the deposit and the full amount of the order in any case.
"Hello, I would like to ask for details on how to order a cake box.","Hello, please specify the size width x side x height cm."
"Hello, I would like to ask for details on how to order a cake box.",How much is the customer interested in doing?
"Hello, I would like to ask for details on how to order a cake box.",The customer has a work file. Ready to go into production?
"Hello, I would like to ask for details on how to order a cake box.",How much are you setting aside?
"Hello, I would like to ask for details on how to order a cake box.","The payment amount is more than 15,000 baht, the company delivers free delivery in Bangkok perimeter."
"Hello, please recommend the right size for the item.",What type of work is the customer's product?
"Hello, please recommend the right size for the item.",Would you mind sending me the piece of work for me to see?
"Hello, please recommend the right size for the item.",Size width * side * height cm.
"Hello, please recommend the right size for the item.",It's a plug-in box.
"Hello, please recommend the right size for the item.",or in another case disturbing the customer Delivery of sample products to be used to measure the size of the box.
"hello
Interested in making tea packaging boxes? Start with a small amount of 100 pieces.","Hello, do you have a sample of your work?"
"hello
Interested in making tea packaging boxes? Start with a small amount of 100 pieces.",How much are you interested in doing?
"hello
Interested in making tea packaging boxes? Start with a small amount of 100 pieces.",Please ask for size width * side * height cm. Can I have the product please?
"hello
Interested in making tea packaging boxes? Start with a small amount of 100 pieces.","It's a 350 gram art card paper. The lid box is plugged into the bottom.
4 color / digital printing
Coated with glossy laminate / side, die-cut, glue on the side 1 point / ready to use

500 each for 12 baht
1,000 tickets 7.50 baht each

The stated price does not include tax.
Does not include design and does not include shipping."
"hello
Interested in making tea packaging boxes? Start with a small amount of 100 pieces.","Delivery fee 300 baht
The payment amount is not over 10,000 baht. Please pay the full amount."
Interested in supplement boxes?,"Hello, please specify the size width x side x height cm. and specify the amount you want to order."
Interested in supplement boxes?,The customer has a ready-to-manufacture or design file.
Interested in supplement boxes?,What kind of work is the box?
Interested in supplement boxes?,The size unfolded is no more than A4.
Interested in supplement boxes?,The minimum order for production is 100 pieces.
"Interested in designing and producing, is there a minimum order?",What type of packaging are customers interested in?
"Interested in designing and producing, is there a minimum order?","Inform the price, design

Design fee 1,500 baht, can be modified up to 3 times
- Editing more than 3 times will cost 300 baht per time.


We reserve the right to provide design files.
1. The price stated is a design pro, from the original normal, we design 2,500 baht.
2. In the event that the customer wants the design file to be kept by himself, the file fee is 5,000 baht."
"Interested in designing and producing, is there a minimum order?","In case of design, please send the product to measure the box size// In case the customer is not convenient to send the sample product You can tell me the size you want. ** But produce the box. does not match the size of the product We do not accept claims. In every case ***"
"Interested in designing and producing, is there a minimum order?","printing house print cafe
To...Khun Aum, sales department Tel: 063-593-2429

No. 6 Soi Bang Khae 12, Bang Khae Road, Bang Khae Subdistrict
Bang Khae, Bangkok 10160

The product sample has been sent. Let me know. / We will wait to receive the product. of your customers."
"Interested in designing and producing, is there a minimum order?","Inform the price of the floor...

plug-in lid box unfolded no more than A4
350 gram art card paper + 4 color printing + glossy/matt laminated coating, you can choose
Die-cut/ glue on the side 1 point


100 bags, 25.00 baht each (digital print)


500 pieces, 8.00 baht each (offset printing)


1,000 pieces, 5.00 baht each (offset printing)


The price stated does not include VAT 7%, does not include design and does not include shipping."
Interested in producing lipstick boxes?,"Hello, it's a box work. The lid is plugged into the bottom."
Interested in producing lipstick boxes?,Size unfolded no more than A4
Interested in producing lipstick boxes?,"Is the customer interested in ordering the production of boxes? / Is the price given to you passed?
You can call to consult."
Interested in producing lipstick boxes?,Design work too. Design fee is 1500 baht / design. Customers will not get this price. Design file.
Interested in producing lipstick boxes?,"The design period is 7-8 working days, excluding public holidays and it depends on the day the customer finishes the design work."
Interested in making a box?,"Hello, what type of product are you interested in making boxes for?"
Interested in making a box?,"Box for cream jar, size not over A4"
Interested in making a box?,The minimum production box is 100 pieces.
Interested in making a box?,How much are customers interested in?
Interested in making a box?,"Box lid plugged into the butt plug + lock
350 gram art card paper, 4+1 special color printing according to Pantone code
Glossy/matt laminated, die-cut, glued on 1 side

500 bags, 18 baht each
1,000 tickets 9.80 baht each
2,000 tickets, 7.10 baht each
3,000 each 6.07 baht


The stated price does not include tax.
Does not include design and does not include shipping."
"Hello, would you please give me a little estimate of the price of the box?","Hello, what kind of product is the box?"
"Hello, would you please give me a little estimate of the price of the box?",Do you have a work sample?
"Hello, would you please give me a little estimate of the price of the box?",The customer has a work file. Ready to go into production?
"Hello, would you please give me a little estimate of the price of the box?",Please ask for size width * side * height cm. Can I have the product please?
"Hello, would you please give me a little estimate of the price of the box?",How many cards are customers interested in?
Order 1000 boxes.,"Hello, is it a reprint or a new job?"
Order 1000 boxes.,"If the work is reprinted, the price is the same. I will summarize the amount for you. Som Jiew soap box
350 gram art card paper, 4 color printing
Matt/Gloss Lamination/Die Cut, Glue 1 point

1,000 each 4.80 = 4,800 baht

Total 4,800+vat 7%=5,136 baht"
Order 1000 boxes.,"Get the product
After confirming the mockup and a specification sheet for production Graphic Lay and the production department issued a dew number to send the job. and production orders. Production time 7-8 days.
Will not count 1 that customers transfer money to start work "
Order 1000 boxes.,"Disturbing customers Please confirm the mock-up and the job specification sheet. that is correct or not before sending the work into production
****Repeat the inspection to be correct, both the artwork
All parts that are on the box and picture and box size.
If the job is still wrong Fix the work in time at this stage ..*****"
Order 1000 boxes.,"Normal 4-color printing, co-laying, is a job that is printed at the same time with other customers. I didn't receive the cray about the color, no matter what the case, come to print and new work. Not notified only because of this work.
Because each round Lay down the frame, can't print with the original one that used to be produced.
Color +- 10-20 % = 80-85% Shades that customers have to accept work 2-4 shades, the work will not have 100%."
"hello
Made for the slide box lid only. Screen logo?
hello","Hello, we accept production, but the shop will be a production order, new print."
Made for the slide box lid only. Screen logo?,What kind of paper work is it?
"hello
Made for the slide box lid only. Screen logo?",How much is the customer setting a budget?
"hello
Made for the slide box lid only. Screen logo?
hello","Please ask for name-surname, address, contact number."
Made for the slide box lid only. Screen logo?,How many products do you want to produce?
"hello
want to make a box and print the logo and text in the box.
hello","Hello, what kind of box do you make?"
want to make a box and print the logo and text in the box.,What kind of product is it in a box?
"hello
want to make a box and print the logo and text in the box.
hello",The customer has a work file. Ready to go into production?
want to make a box and print the logo and text in the box.,Do you have a work sample?
"hello
want to make a box and print the logo and text in the box.
Hello, I'm interested in ordering a printed box.",The minimum number of works is 100 pieces.
What is the price of 1000 boxes?,"Hello, what type of box is this?"
"Hello, I'm interested in ordering a printed box.
What is the price of 1000 boxes?
Hello, I'm interested in ordering a printed box.",Customers are interested in 350 gram art card paper work.
What is the price of 1000 boxes?,Is the customer serious about color?
"Hello, I'm interested in ordering a printed box.
What is the price of 1000 boxes?
Hello, I'm interested in ordering a printed box.",How many cards do you get?
What is the price of 1000 boxes?,"The lid box is plugged into the bottom of the plug, 10*5*13.5 cm.
350 gram art card paper, 4 color printing
Coated with glossy laminate / side, die-cut, glue on the side 1 point / ready to use

500 tickets, 12 baht each
1,000 tickets 7.50 baht each

The stated price does not include tax.
Does not include design and does not include shipping."
Ask for the price of the box.,"Hello, what kind of box is this product?"
Ask for the price of the box.,The size of the box does not exceed A4.
Ask for the price of the box.,How much are you interested in doing?
Ask for the price of the box.,"Yes, please give me a price for a moment."
Ask for the price of the box.,"The payment amount is not over 10,000 baht. Please pay the full amount."
"Hello, I'm interested in printing a food supplement box.","Hello, please specify the size width x side x height in cm."
"Hello, I'm interested in printing a food supplement box.",How much is the customer interested in producing?
"Hello, I'm interested in printing a food supplement box.",The minimum order for production is 100 pieces.
"Hello, I'm interested in printing a food supplement box.",How much are you interested in doing?
"Hello, I'm interested in printing a food supplement box.","The payment amount is not over 10,000 baht. Please pay the full amount."
I would like to know the price of the box of soap and lip balm.,"Hello, do you have a sample of your work?"
I would like to know the price of the box of soap and lip balm.,Please ask for size width * side * height cm. Can I have the product please?
